Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A14006_001,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005,SE_A09003_001,SE_A09001_001,SE_A09001_002,SE_A09001_003,SE_A09001_004,SE_A09001_005,SE_A09001_006,SE_A09001_007,SE_A09001_008,SE_A09001_009,SE_A09001_010
"06037701402","Census Tract 7014.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"701402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7014.02",,,,6179,6179,19294.29,0.320250132433046,6179,4081,81,0,477,38,448,1054,116296,3324,1767,1605,162,138,24,159,159,41,1036,6115,392,5723,1791,4388,29,3324,2288,130,449,638,482,479,87,23,1036
"06037701501","Census Tract 7015.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"701501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7015.01",,,,5058,5058,21215.76,0.238407668298077,5058,3470,379,5,441,0,157,606,132137,2950,1526,1447,79,87,0,78,112,38,1109,5058,154,4904,1238,4084,26,2950,1841,166,670,224,340,339,70,32,1109
"06037701502","Census Tract 7015.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"701502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7015.02",,,,3784,3784,16061.31,0.235597230566319,3784,2557,297,2,242,0,218,468,105455,2258,1121,1089,32,80,0,27,184,0,846,3223,209,3014,714,2438,24,2258,1412,155,435,272,275,256,10,9,846
"06037701601","Census Tract 7016.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"701601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7016.01",,,,3963,3963,8434.017,0.469882872044195,3963,2941,63,24,386,0,158,391,154583,1964,1160,1091,69,26,0,21,99,16,642,3963,59,3904,1104,3388,24,1964,1322,114,462,157,352,168,65,4,642
"06037701602","Census Tract 7016.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"701602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7016.02",,,,4614,4614,18091.62,0.255035158464055,4614,2584,330,0,717,0,155,828,122401,2447,1552,1461,91,20,0,141,105,17,612,4457,440,4017,1208,3220,18,2447,1835,572,558,239,285,88,78,15,612
"06037701701","Census Tract 7017.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"701701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7017.01",,,,3350,3350,13215.29,0.253494224683667,3350,2248,174,43,406,0,210,269,73710,1954,1083,987,96,33,0,30,120,0,688,3339,417,2922,962,2264,25,1954,1266,161,416,279,188,94,107,21,688
"06037701702","Census Tract 7017.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"701702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7017.02",,,,3146,3146,13423.76,0.234360545299824,3146,2099,407,21,334,0,71,214,73906,1820,933,860,73,84,0,111,234,30,428,3146,72,3074,868,2512,21,1820,1392,298,459,199,218,174,44,0,428
"06037701801","Census Tract 7018.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"701801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7018.01",,,,6668,6668,9109.699,0.731967097917056,6668,3469,598,96,932,0,651,922,77698,3075,1943,1771,172,81,0,63,114,39,835,6668,476,6192,2303,4442,22,3075,2240,269,969,281,359,250,80,32,835
"06037701802","Census Tract 7018.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"701802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7018.02",,,,5260,5260,10909.36,0.482154743574101,5260,2719,538,28,434,0,566,975,89125,2591,1736,1633,103,143,0,37,101,24,550,5186,291,4895,2092,3089,22,2591,2041,329,649,385,285,300,93,0,550
"06037701902","Census Tract 7019.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"701902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7019.02",,,,5149,5149,7451.081,0.691040653470209,5149,3618,572,0,352,0,91,516,75565,2769,1406,1301,105,84,0,0,306,200,773,5149,192,4957,1752,3567,21,2769,1996,185,972,276,342,139,66,16,773
"06037702002","Census Tract 7020.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"702002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7020.02",,,,6185,6185,15786.85,0.391781737984886,6185,4149,768,82,502,0,158,526,96664,3319,1857,1792,65,58,0,143,254,136,871,6168,499,5669,1852,4274,28,3319,2448,127,570,722,450,340,218,21,871
"06037702102","Census Tract 7021.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"702102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7021.02",,,,5620,5620,15684.3,0.358320192989311,5620,4458,73,0,265,0,44,780,98025,3375,2076,1961,115,102,0,208,227,31,731,5620,418,5202,1807,3925,34,3375,2644,238,265,607,585,643,292,14,731
"06037702201","Census Tract 7022.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"702201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7022.01",,,,3920,3920,8431.65,0.464914895358589,3920,2501,238,42,322,34,190,593,105284,2237,1351,1234,117,68,0,53,158,22,585,3920,110,3810,1396,2966,24,2237,1652,286,509,285,180,324,68,0,585
"06037702202","Census Tract 7022.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"702202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7022.02",,,,3920,3920,10035.38,0.390618026029464,3920,3058,11,19,223,0,89,520,141071,1919,1275,1259,16,13,0,50,61,30,490,3920,164,3756,1106,3049,26,1919,1429,58,545,240,306,178,92,10,490
"06037702300","Census Tract 7023, Los Angeles County, California","ca","140","00",,,,"06","037",,,"702300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7023",,,,6820,6820,6814.998,1.00073398023466,6820,4840,179,55,604,0,287,855,114915,3479,2090,1864,226,153,0,43,339,55,799,6732,81,6651,1724,5606,26,3479,2680,282,920,535,343,328,194,78,799
"06037702400","Census Tract 7024, Los Angeles County, California","ca","140","00",,,,"06","037",,,"702400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7024",,,,4541,4541,5933.267,0.765345630945008,4541,2373,134,19,643,0,224,1148,129911,2840,1835,1749,86,133,0,8,75,55,734,4541,311,4230,1025,3580,28,2840,2106,141,452,375,656,360,116,6,734
